Tipo de Operación,Fecha,Activo,Cantidad,Monto USD,Monto COP,Precio Unitario,Costo de Cierre,Ganancia/Pérdida USD,Total
Depósito,2024-11-14,,,22.36,111413,,,,22.36
Depósito,2024-11-14,,,24.5,121701,,,,24.5
Compra,2024-11-14,ACWI,0.18274,22,,120.38,0.15,,22.15
Compra,2024-11-14,BTCUSD,0.00026791,24,,89582,0.24,,24.24
Depósito,2024-11-21,,,45.42,213352,,,,45.42
Compra,2024-11-21,ACWI,0.2079,25,,120.24,0.15,,25.15
Compra,2024-11-21,BTCUSD,0.0002086,20.53,,98418,0.21,,20.74
Venta,2024-12-13,BTCUSD,0.00047651,48.71,,102222.4,0.49,,48.22
Compra,2024-12-18,BTCUSD,0.00046992,47.5,,101081.04,0.48,,47.98
Depósito,2024-12-20,,,45,210413,,,,45
Compra,2024-12-20,NU,4.33108,45,,10.39,0.15,,45.15
Dividendo,2024-12-23,ACWI,,-0.13,,,,,-0.13
Dividendo,2024-12-23,ACWI,,0.42,,,,,0.42
Depósito,2025-01-21,,,50,228662,,,,50
Compra,2025-01-22,BTCUSD,0.00004742,5,,105440.74,0.05,,5.05
Compra,2025-01-23,ACWI,0.24657,30,,121.67,0.15,,30.15
Compra,2025-01-23,VOO,0.02685,15,,558.62,0.15,,15.15
Venta,2025-01-30,VOO,0.02685,14.9,,554.79,0.17,,14.73
Compra,2025-01-31,NVDA,0.10995,14,,127.32,0.15,,14.15
Venta,2025-02-20,NU,3.37,45.1,,13.38,0.12,,44.98
Depósito,2025-02-21,,,50,218172,,,,50
Compra,2025-02-21,GLD,0.0702,19,,270.64,0.15,,19.15
Compra,2025-02-21,EEM,0.52866,24,,45.4,0.15,,24.15
Compra,2025-02-21,VEU,0.61511,38,,61.77,0.15,,38.15
Compra,2025-02-21,ETHUSD,0.00353379,9.98,,2824.16,0.1,,10.08
Depósito,2025-03-24,USD,,50,,,,,50
Dividendo,2025-03-26,VEU,,0.12,,,0.04,,0.08
Compra,2025-03-29,ETHUSD,0.00431988,8,,1851.9,0.08,,8.08
Compra,2025-03-29,BTCUSD,0.00007264,6,,82599.11,0.06,,6.06
Compra,2025-04-03,GLD,0.0279,8,,286.7,0.15,,8.15
Compra,2025-04-07,VEU,0.25604,14,,54.67,0.15,,14.15
Compra,2025-04-07,EEM,0.30755,12,,39.01,0.15,,12.15
Compra,2025-04-07,NVDA,0.0514,5,,97.26,0.15,,5.15
Depósito,2025-04-22,USD,,50,225613,,,,50
Compra,2025-04-23,ACWI,0.10431,12,,115.03,0.15,,12.15
Compra,2025-04-23,GLD,0.03292,10,,303.68,0.15,,10.15
Compra,2025-04-23,NVDA,0.04814,5,,103.84,0.15,,5.15
Compra,2025-04-23,VEU,0.08134,5,,61.46,0.15,,5.15
Compra,2025-04-23,NU,0.43177,5,,11.58,0.15,,5.15
Compra,2025-05-07,EEM,0.17609,7.85,,44.57,0.15,,8
Depósito,2025-05-22,USD,,50,,,,,50
Compra,2025-05-23,ACWI,0.10205,12.5,,122.47,0.15,,12.65
Compra,2025-05-23,GLD,0.02418,7.5,,310.11,0.15,,7.65
Compra,2025-05-23,EEM,0.10813,5,,46.23,0.15,,5.15
Compra,2025-05-23,NU,0.4171,5,,11.98,0.15,,5.15
Compra,2025-05-23,NVDA,0.03798,5,,131.63,0.15,,5.15
Dividendo,2025-06-23,ACWI,,0.81,,,0.24,,0.57
Dividendo,2025-06-23,EEM,,0.51,,,0.15,,0.36
Dividendo,2025-06-25,VEU,,0.45,,,0.14,,0.31
Depósito,2025-06-26,USD,,50,219075,,,,50
Compra,2025-06-26,BTCUSD,0.00011668,12.5,,107130.61,0.12,,12.62
Compra,2025-06-26,ETHUSD,0.00409717,10,,2440.7,0.1,,10.1
Compra,2025-06-26,GLD,0.01639,5,,305,0.15,,5.15
Compra,2025-06-26,ACWI,0.05907,7.5,,126.96,0.15,,7.65
Compra,2025-06-26,EEM,0.10391,5,,48.11,0.15,,5.15
Compra,2025-06-26,VEU,0.07514,5,,66.54,0.15,,5.15
Compra,2025-06-26,NVDA,0.0323,5,,154.76,0.15,,5.15
Compra,2025-06-26,NU,0.37439,5,,13.35,0.15,,5.15
Depósito,2025-07-23,USD,,50,219452,,,,50
Compra,2025-07-23,BTCUSD,0.0000844,10,,118483.41,0.1,,10.1
Compra,2025-07-23,ETHUSD,0.00138613,5,,3607.16,0.05,,5.05
Compra,2025-07-23,GLD,0.03199,10,,312.54,0.15,,10.15
Compra,2025-07-23,VEU,0.21707,15,,69.1,0.15,,15.15
Compra,2025-07-23,NVDA,0.07026,12,,170.78,0.15,,12.15
Compra,2025-07-23,NU,0.38476,5,,12.99,0.15,,5.15
Compra,2025-08-01,GLD,0.07082,21.82,,308.08,0.15,,21.97
Venta,2025-08-01,NVDA,0.0875,15.21,,173.77,0.17,,15.04
